Crack #,Perimeter,Area,Circularity,Aspect Ratio,Height,Width,Angle,X Location,Y Location
2203,29.8995,16.5,0.231935,2.90244,4.16292,12.0826,-23.9625,766.84,187.015
2237,143.439,225.5,0.137729,1.90694,38.8186,20.3565,-84.4725,192.796,190.271
2239,70.0416,80.5,0.206202,5.9901,5.20176,31.1591,-11.8887,582.219,181.664
2241,188.752,261.5,0.0922353,4.78814,69.4153,14.4974,-47.4896,683.445,198.241
2245,28.9706,15,0.224588,3.85714,3.1305,12.0748,-26.5651,86.9,180.3
2265,39.5563,30.5,0.24495,3.06154,14.2874,4.66673,-68.9625,220.83,175.742
2271,145.054,162,0.0967535,4.81818,47.9839,9.95893,-84.8056,529.992,174.09
2279,77.6985,77.5,0.161319,4.30952,6.90476,29.7562,-9.46232,15.1081,171.149
2280,60.0416,66.5,0.231807,3.79279,6.26409,23.7584,-16.3895,407.898,172.353
2281,87.0122,136.5,0.22656,2.1697,26.8332,12.3673,-77.0054,154.003,174.654
2307,106.083,158,0.17643,1.55623,25.5681,16.4295,-87.1376,647.971,167.574
2308,896.791,2385.5,0.0372741,2.53389,80.9101,205.017,-36.9368,266.43,205.465
2320,156.61,185.5,0.0950416,2.94805,12.6587,37.3186,-9.46232,442.365,165.689
2342,64.5269,52.5,0.158448,1.66667,9,15,-0,32.5,157.5
2369,95.598,117,0.160879,3.04846,10.7973,32.9151,-2.72631,59.5803,150.187
2386,95.0122,99.5,0.138508,4.11111,37,9,-90,27.5,145.5
2402,67.0122,81.5,0.228066,3.61494,26.9434,7.45334,-43.2643,628.582,147.305
2403,103.497,174.5,0.204713,3.6,10.6066,38.1838,-45,411.25,151.25
2421,611.713,977.5,0.032827,3.22104,45.6915,147.174,-23.8683,64.0892,181.722
2432,50.6274,40,0.196109,4.1413,5.10324,21.1341,-3.17983,746.468,131.918
2437,95.598,99,0.136128,1.23457,22.6093,18.3136,-47.2906,154.984,138.601
2443,39.5563,26.5,0.212825,2.67089,15.0331,5.62852,-85.9144,770.627,128.723
2481,60.5269,69.5,0.238395,1.8932,18.9401,10.0042,-60.9454,338.255,123.642
2521,116.669,179.5,0.165715,5.28739,47.0419,8.897,-82.5041,727.141,112.426
2546,41.2132,30.5,0.225651,2.33333,6.36396,14.8492,-45,13,109.5
2592,31.3137,16,0.205051,4.89655,13.6011,2.7777,-16.6992,96.4587,97.3624
2599,94.3259,127.5,0.180077,4.82061,7.83925,37.79,-38.9275,164.421,99.5448
2636,102.326,130.5,0.156621,4.43621,40.8029,9.19769,-29.4759,317.571,99.8947
2655,53.4558,49,0.215484,2.58784,20.5902,7.95653,-53.7462,647.701,84.1806
2675,24.1421,9,0.194044,5.1875,2.04859,10.6271,-50.1944,513.697,77.1639
2681,249.622,269,0.0542494,4.80511,18.1583,87.2526,-70.5139,257.957,111.6
2686,34.6274,21,0.220084,1.14894,9.26092,8.06043,-30.9638,163.662,75.6029
2701,38.0416,27.5,0.238795,1.27273,9.89949,7.77817,-45,768.25,70.75
2705,51.1127,36,0.173163,2.92857,6.791,19.8879,-14.0362,230.118,71.4706
2711,78.1838,115.5,0.237443,1.5565,15.9434,24.8158,-54.1623,191.303,79.5801
2713,64.8701,55.5,0.165735,2.11225,10.388,21.942,-57.9946,88.8483,72.8427
2721,228.693,258.5,0.0621102,6.99261,93.2914,13.3414,-45.4441,588.05,99.9802
2724,87.4975,100.5,0.164962,1.3089,15.8617,20.7614,-4.76364,131.79,70.4759
2730,74.1838,70.5,0.160983,1.0939,17.3188,15.8322,-41.9872,106.87,66.4669
2760,138.024,147,0.0969651,1.42418,29.5277,20.7331,-12.2648,292.941,66.7301
2839,104.225,134,0.155013,2.4875,13.7199,34.1282,-59.0363,222.868,50.2206
2841,116.468,159.5,0.14776,1.5122,18.3358,27.7272,-26.5651,64.1,47.2
2844,64.2843,39,0.118595,1.32558,14.14,10.667,-82.875,113.077,38.3846
2888,95.598,106,0.145753,1.33333,16.9706,22.6274,-45,785.5,30.5
2895,120.225,122,0.106066,1.49296,25.7088,17.22,-75.9638,167.147,32.4118
2916,27.3137,12,0.20213,3.33333,10,3,-0,704.5,23
2924,30.1421,18,0.248963,2.19512,11.1631,5.08542,-29.7449,208.362,21.5077
2925,40.0416,31.5,0.246886,2.64912,5.67171,15.0251,-5.71059,173.599,20.4901
2927,37.5563,21.5,0.19155,2.27778,5.6921,12.9653,-71.565,304.25,22.25
2934,62.2843,65,0.210555,2.66667,22.5345,8.45043,-39.8056,127.344,25.2131
2989,20.8284,7,0.202766,4.5,9,2,-90,782.5,2
2994,891.803,1369,0.0216309,6.36865,41.32,263.153,-36.2131,478.65,93.4964
